# svm train "WikiCoref" (training examples: 23 positive / 28 negative)
1 0:1 1:1.92 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:1 1:0.4 2:0 3:0.0 4:0 5:0 6:1 7:1 8:1 9:0
1 0:1 1:1.42 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:1 1:1.6 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:0 1:0.36 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:0.64 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:0.94 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:1.94 2:0 3:0.0 4:0 5:0 6:1 7:1 8:1 9:0
1 0:1 1:0.94 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:0.72 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:1 1:1.02 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:1 1:1.4 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:1 1:1.02 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:0 1:0.84 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:0.58 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
1 0:0 1:0.48 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
1 0:0 1:1.18 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:0.34 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:1.4 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:1.38 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:0 1:1.24 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
1 0:1 1:0.74 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
1 0:1 1:0.56 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:1
-1 0:1 1:0.88 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:1.48 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.62 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:0.76 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.52 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.42 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:1.1 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.36 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.26 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:0.62 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.38 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.86 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:1.4 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.38 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.54 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.82 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.48 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.28 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.5 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:0 1:0.68 2:1 3:0.02 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.34 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:0.84 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:0.18 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:0.6 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
-1 0:1 1:0.74 2:0 3:0.0 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:0 1:0.52 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:0 1:1.06 2:1 3:0.02 4:0 5:0 6:0 7:1 8:0 9:0
-1 0:1 1:0.24 2:0 3:0.0 4:0 5:0 6:0 7:1 8:1 9:0
